,id,price,time,exchange,quote_type,market_hours,change_percent,change,open_price,price_hint,currency,day_high,day_low
11101,^NSEI,22532.6,2026-03-30 07:19:57,NSI,9,1,-1.2577211,-287.0,,2,,,
11102,^NSEI,22531.6,2026-03-30 07:19:58,NSI,9,1,-1.2620564,-288.0,,2,,,
11103,^NSEI,22530.55,2026-03-30 07:19:59,NSI,9,1,-1.2666609,-289.04883,,2,,,
11104,^NSEI,22531.0,2026-03-30 07:20:00,NSI,9,1,-1.2647505,-288.5996,,2,,,
11105,^NSEI,22531.45,2026-03-30 07:20:01,NSI,9,1,-1.2627873,-288.1504,,2,,,
11106,^NSEI,22531.95,2026-03-30 07:20:02,NSI,9,1,-1.2605767,-287.6504,,2,,,
11107,^NSEI,22531.9,2026-03-30 07:20:03,NSI,9,1,-1.2607577,-287.69922,,2,,,
11108,^NSEI,22531.4,2026-03-30 07:20:04,NSI,9,1,-1.262946,-288.19922,,2,,,
11109,^NSEI,22531.6,2026-03-30 07:20:05,NSI,9,1,-1.2620757,-288.0,,2,,,
11110,^NSEI,22531.6,2026-03-30 07:20:06,NSI,9,1,-1.2621033,-288.0,,2,,,
11111,^NSEI,22531.95,2026-03-30 07:20:07,NSI,9,1,-1.2606071,-287.6504,,2,,,
11112,^NSEI,22532.1,2026-03-30 07:20:08,NSI,9,1,-1.2599618,-287.5,,2,,,
11113,^NSEI,22531.85,2026-03-30 07:20:09,NSI,9,1,-1.2610105,-287.75,,2,,,
11114,^NSEI,22532.0,2026-03-30 07:20:10,NSI,9,1,-1.2603405,-287.5996,,2,,,
11115,^NSEI,22532.6,2026-03-30 07:20:11,NSI,9,1,-1.2577156,-287.0,,2,,,
11116,^NSEI,22532.95,2026-03-30 07:20:12,NSI,9,1,-1.2561531,-286.6504,,2,,,
11117,^NSEI,22532.0,2026-03-30 07:20:13,NSI,9,1,-1.2603488,-287.5996,,2,,,
11118,^NSEI,22531.5,2026-03-30 07:20:14,NSI,9,1,-1.2624929,-288.0996,,2,,,
11119,^NSEI,22532.15,2026-03-30 07:20:15,NSI,9,1,-1.2596483,-287.44922,,2,,,
11120,^NSEI,22532.05,2026-03-30 07:20:16,NSI,9,1,-1.2600904,-287.54883,,2,,,
11121,^NSEI,22532.55,2026-03-30 07:20:17,NSI,9,1,-1.2579572,-287.04883,,2,,,
11122,^NSEI,22531.3,2026-03-30 07:20:18,NSI,9,1,-1.2633133,-288.29883,,2,,,
11123,^NSEI,22531.4,2026-03-30 07:20:19,NSI,9,1,-1.2629433,-288.19922,,2,,,
11124,^NSEI,22530.95,2026-03-30 07:20:20,NSI,9,1,-1.2648981,-288.6504,,2,,,
11125,^NSEI,22531.65,2026-03-30 07:20:21,NSI,9,1,-1.2619058,-287.94922,,2,,,
11126,^NSEI,22531.15,2026-03-30 07:20:22,NSI,9,1,-1.2640637,-288.44922,,2,,,
11127,^NSEI,22530.35,2026-03-30 07:20:23,NSI,9,1,-1.2675008,-289.25,,2,,,
11128,^NSEI,22527.9,2026-03-30 07:20:24,NSI,9,1,-1.2781801,-291.69922,,2,,,
11129,^NSEI,22523.9,2026-03-30 07:20:25,NSI,9,1,-1.2956194,-295.69922,,2,,,
11130,^NSEI,22525.35,2026-03-30 07:20:26,NSI,9,1,-1.2894589,-294.25,,2,,,
11131,^NSEI,22524.15,2026-03-30 07:20:27,NSI,9,1,-1.294697,-295.44922,,2,,,
11132,^NSEI,22523.9,2026-03-30 07:20:28,NSI,9,1,-1.2958039,-295.69922,,2,,,
11133,^NSEI,22524.4,2026-03-30 07:20:29,NSI,9,1,-1.2936327,-295.19922,,2,,,
11134,^NSEI,22523.95,2026-03-30 07:20:30,NSI,9,1,-1.295556,-295.6504,,2,,,
11135,^NSEI,22524.25,2026-03-30 07:20:31,NSI,9,1,-1.2943116,-295.3496,,2,,,
11136,^NSEI,22524.0,2026-03-30 07:20:32,NSI,9,1,-1.2953618,-295.5996,,2,,,
11137,^NSEI,22525.4,2026-03-30 07:20:33,NSI,9,1,-1.2893324,-294.19922,,2,,,
11138,^NSEI,22524.25,2026-03-30 07:20:34,NSI,9,1,-1.2942662,-295.3496,,2,,,
11139,^NSEI,22523.0,2026-03-30 07:20:35,NSI,9,1,-1.2996955,-296.5996,,2,,,
11140,^NSEI,22523.1,2026-03-30 07:20:36,NSI,9,1,-1.2993387,-296.5,,2,,,
11141,^NSEI,22524.05,2026-03-30 07:20:37,NSI,9,1,-1.2951478,-295.54883,,2,,,
11142,^NSEI,22523.15,2026-03-30 07:20:38,NSI,9,1,-1.2990478,-296.44922,,2,,,
11143,^NSEI,22523.85,2026-03-30 07:20:39,NSI,9,1,-1.2960606,-295.75,,2,,,
11144,^NSEI,22523.9,2026-03-30 07:20:40,NSI,9,1,-1.2958409,-295.69922,,2,,,
11145,^NSEI,22525.0,2026-03-30 07:20:41,NSI,9,1,-1.2909938,-294.5996,,2,,,
11146,^NSEI,22525.25,2026-03-30 07:20:42,NSI,9,1,-1.2898247,-294.3496,,2,,,
11147,^NSEI,22525.85,2026-03-30 07:20:43,NSI,9,1,-1.2873186,-293.75,,2,,,
11148,^NSEI,22525.9,2026-03-30 07:20:44,NSI,9,1,-1.287051,-293.69922,,2,,,
11149,^NSEI,22526.15,2026-03-30 07:20:45,NSI,9,1,-1.2859441,-293.44922,,2,,,
11150,^NSEI,22526.1,2026-03-30 07:20:46,NSI,9,1,-1.2861694,-293.5,,2,,,
11151,^NSEI,22525.55,2026-03-30 07:20:47,NSI,9,1,-1.2885548,-294.04883,,2,,,
11152,^NSEI,22526.6,2026-03-30 07:20:48,NSI,9,1,-1.283984,-293.0,,2,,,
11153,^NSEI,22525.6,2026-03-30 07:20:49,NSI,9,1,-1.2883435,-294.0,,2,,,
11154,^NSEI,22525.85,2026-03-30 07:20:50,NSI,9,1,-1.2872791,-293.75,,2,,,
11155,^NSEI,22525.9,2026-03-30 07:20:51,NSI,9,1,-1.287051,-293.69922,,2,,,
11156,^NSEI,22525.85,2026-03-30 07:20:52,NSI,9,1,-1.2873015,-293.75,,2,,,
11157,^NSEI,22525.5,2026-03-30 07:20:53,NSI,9,1,-1.288783,-294.0996,,2,,,
11158,^NSEI,22525.2,2026-03-30 07:20:54,NSI,9,1,-1.2901235,-294.4004,,2,,,
11159,^NSEI,22524.35,2026-03-30 07:20:55,NSI,9,1,-1.2937957,-295.25,,2,,,
11160,^NSEI,22526.25,2026-03-30 07:20:56,NSI,9,1,-1.2855245,-293.3496,,2,,,
11161,^NSEI,22527.25,2026-03-30 07:20:57,NSI,9,1,-1.2811788,-292.3496,,2,,,
11162,^NSEI,22526.95,2026-03-30 07:20:58,NSI,9,1,-1.2824461,-292.6504,,2,,,
11163,^NSEI,22526.4,2026-03-30 07:20:59,NSI,9,1,-1.2848711,-293.19922,,2,,,
11164,^NSEI,22526.55,2026-03-30 07:21:00,NSI,9,1,-1.2842458,-293.04883,,2,,,
11165,^NSEI,22526.4,2026-03-30 07:21:01,NSI,9,1,-1.2848344,-293.19922,,2,,,
11166,^NSEI,22526.9,2026-03-30 07:21:02,NSI,9,1,-1.2826884,-292.69922,,2,,,
11167,^NSEI,22526.35,2026-03-30 07:21:03,NSI,9,1,-1.2850485,-293.25,,2,,,
11168,^NSEI,22525.95,2026-03-30 07:21:04,NSI,9,1,-1.2868482,-293.6504,,2,,,
11169,^NSEI,22525.1,2026-03-30 07:21:05,NSI,9,1,-1.2905573,-294.5,,2,,,
11170,^NSEI,22525.75,2026-03-30 07:21:06,NSI,9,1,-1.2877325,-293.8496,,2,,,
11171,^NSEI,22526.25,2026-03-30 07:21:07,NSI,9,1,-1.2855498,-293.3496,,2,,,
